"id_OC"	"idSucursal"	"idProveedor"	"TipoDocumento"	"OrdenCompra"	"tipoCompra"	"idHES"	"HES"	"idDetRecpcion"	"posicionCompra"	"cantidad"	"costoUnitario"	"Subtotal"
"3115"	"1"	"100155"	"WE"	"COM-BDG-003115"	"1"	"3092"	"HES-BDG-003092"	"9036"	"13007"	"55"	"160"	"8800"
"3114"	"1"	"100155"	"WE"	"COM-BDG-003114"	"1"	"3091"	"HES-BDG-003091"	"9033"	"13003"	"36"	"889.76"	"32031.36"
"3114"	"1"	"100155"	"WE"	"COM-BDG-003114"	"1"	"3091"	"HES-BDG-003091"	"9034"	"13005"	"15"	"720"	"10800"
"3113"	"1"	"100155"	"WE"	"COM-BDG-003113"	"1"	"3089"	"HES-TPL-003089"	"9029"	"13000"	"60"	"627.15"	"37629"
"3113"	"1"	"100155"	"WE"	"COM-BDG-003113"	"1"	"3089"	"HES-TPL-003089"	"9030"	"13002"	"80"	"593.6"	"47488"
"3113"	"1"	"100155"	"WE"	"COM-BDG-003113"	"1"	"3090"	"HES-BDG-003090"	"9031"	"13000"	"14"	"627.15"	"8780.1"
"3113"	"1"	"100155"	"WE"	"COM-BDG-003113"	"1"	"3090"	"HES-BDG-003090"	"9032"	"13002"	"10"	"593.6"	"5936"
"3112"	"1"	"100155"	"WE"	"COM-BDG-003112"	"1"	"3087"	"HES-BDG-003087"	"9026"	"12997"	"120"	"125.27"	"15032.4"
"3112"	"1"	"100155"	"WE"	"COM-BDG-003112"	"1"	"3088"	"HES-BDG-003088"	"9028"	"12998"	"140"	"66.87"	"9361.8"
"3111"	"1"	"100155"	"WE"	"COM-BDG-003111"	"1"	"3086"	"HES-BDG-003086"	"9024"	"12995"	"64"	"160"	"10240"
"3111"	"1"	"100155"	"WE"	"COM-BDG-003111"	"1"	"3086"	"HES-BDG-003086"	"9025"	"12996"	"150"	"834.2"	"125130"
"3110"	"1"	"100155"	"WE"	"COM-BDG-003110"	"1"	"3084"	"HES-BDG-003084"	"9020"	"12993"	"34"	"1230"	"41820"
"3110"	"1"	"100155"	"WE"	"COM-BDG-003110"	"1"	"3084"	"HES-BDG-003084"	"9021"	"12994"	"80"	"593.6"	"47488"
"3110"	"1"	"100155"	"WE"	"COM-BDG-003110"	"1"	"3085"	"HES-TPL-003085"	"9022"	"12993"	"2"	"1230"	"2460"
"3110"	"1"	"100155"	"WE"	"COM-BDG-003110"	"1"	"3085"	"HES-TPL-003085"	"9023"	"12994"	"9"	"593.6"	"5342.4"
"3109"	"1"	"100155"	"WE"	"COM-BDG-003109"	"1"	"3083"	"HES-BDG-003083"	"9019"	"12992"	"15"	"112"	"1680"
"3108"	"1"	"100011"	"WE"	"COM-BDG-003108"	"1"	"3081"	"HES-TPL-003081"	"9013"	"12989"	"16"	"834.2"	"13347.2"
"3108"	"1"	"100011"	"WE"	"COM-BDG-003108"	"1"	"3081"	"HES-TPL-003081"	"9015"	"12991"	"5"	"1230"	"6150"
"3108"	"1"	"100011"	"WE"	"COM-BDG-003108"	"1"	"3082"	"HES-BDG-003082"	"9016"	"12989"	"20"	"834.2"	"16684"
"3108"	"1"	"100011"	"WE"	"COM-BDG-003108"	"1"	"3082"	"HES-BDG-003082"	"9017"	"12990"	"48"	"593.6"	"28492.8"
"3108"	"1"	"100011"	"WE"	"COM-BDG-003108"	"1"	"3082"	"HES-BDG-003082"	"9018"	"12991"	"14"	"1230"	"17220"
"3105"	"1"	"100061"	"WE"	"COM-BDG-003105"	"1"	"3073"	"HES-BDG-003073"	"9000"	"12980"	"70"	"567.5"	"39725"
"3105"	"1"	"100061"	"WE"	"COM-BDG-003105"	"1"	"3077"	"HES-BDG-003077"	"9007"	"12980"	"30"	"567.5"	"17025"
"3104"	"1"	"100145"	"WE"	"COM-BDG-003104"	"1"	"3075"	"HES-TPL-003075"	"9001"	"12978"	"99"	"331.5"	"32818.5"
